product_id,platform,platform_id,was_active,stage,title
1439,amazon,B0BTD6RCJV,true,amazon_done,"ChuChu（チュチュ） マルチフィット広口タイプシリコーンゴム製乳首 1個入 日本製 新生児 卒乳 全月齢"
4650,amazon,B0BZS2MTJZ,true,amazon_done,"[GoUseGo] お食事エプロン 長袖 ベビー 食事用エプロン 男の子 5ヶ月～5歳 洗える 袖付き 離乳食エプロン 防水 食事スタイ 赤ちゃん エプロン 幼児 スモック 子供 キッズ 保育園 幼稚園 入園準備"
6260,amazon,B0CS6CF629,true,amazon_done,"OSJ チャイルドシート 新生児 ISOFIX 0歳~12歳頃 360度回転式 40~150cm ジュニアシート 長く使える 取付簡単 自動車 カー用品 ベビーシート リクライニング 調節可能 洗える ブラック (13段階調節)"
5662,amazon,B0D8PT5PJK,true,amazon_done,"【グスケット365抱っこ紐】【ママリ口コミ大賞受賞】2WAY セカンド抱っこひも ヒップシート スリング 腰すわり～20kgまで 簡単 コンパクト 滑り止め 男女兼用 赤ちゃん 収納巾着ポーチ付き グスケット GOOSEKET (グレー)"
10803,amazon,B0B9G5DFM5,true,amazon_done,"arau.(アラウ)アラウ.ベビー 泡全身ソープ 詰替 400ｍｌ"
11105,rakuten,kusuri-hagakure:10144663,true,amazon_done,"資生堂 2e baby(ドゥーエベビー) 泡シャンプー 敏感肌用 300mL 4個セット"
3607,rakuten,at-life:11961342,true,amazon_done,"【送料込・まとめ買い×5個セット】スケーター 折りたたみ 紙パック 飲料ホルダー ハローキティ 70年代 DHP2"
4703,amazon,B0BC8CQ1GM,true,amazon_done,"[kalavika] お食事エプロン 長袖 食事スタイ 洗える 離乳食 エプロン 袖付き 赤ちゃん 女の子 男の子 ベビー スモック 防水 子供 食事用エプロン 0歳 1歳 2歳 3歳 4歳 5歳 保育園 入園準備 出産祝い"
4739,amazon,B09QSHYJW4,true,amazon_done,"[kalavika] お食事エプロン ベビー 長袖 食事スタイ 袖付き 離乳食 エプロン 赤ちゃん 食事用エプロン 防水 スモック 子供 キッズ 女の子 男の子 0歳 1歳 2歳 3歳 4歳 5歳 保育園 入園準備 出産祝い"
4862,amazon,B09SFVG19M,true,amazon_done,"[kalavika] お食事エプロン 長袖 6ヶ月～54ヶ月 赤ちゃん お食事スタイ 女の子 男の子 ベビー ビブ 防水 軽量 ポケット付き スモック 子供 食事用エプロン 保育園 ベビーギフト 出産祝い"
4887,amazon,B09V4NT55N,true,amazon_done,"[kalavika] お食事エプロン 離乳食 お食事スタイ 防水 柔らかい ベビー エプロン 北欧 赤ちゃん スタイ 女の子 男の子 ベビービブ ポケット付き 幼児 保育園 入園準備 食事用エプロン 出産祝い"
4888,amazon,B09SFV3597,true,amazon_done,"[kalavika] お食事エプロン 長袖 6ヶ月～54ヶ月 赤ちゃん お食事スタイ 女の子 男の子 ベビー ビブ 防水 軽量 ポケット付き スモック 子供 食事用エプロン 保育園 ベビーギフト 出産祝い"
5003,amazon,B0BDLP22X7,true,amazon_done,"[kalavika] お食事エプロン ベビー 長袖 北欧 2枚セット 袖付きエプロン 防水 離乳食 エプロン 赤ちゃん お食事スタイ 女の子 男の子 幼児 スモック 0歳 1歳 2歳 3歳 4歳 5歳 子供 食事用エプロン 保育園 入園準備"
